filename stability_measured stability_predicted
187-QH-Li.poscar_RhDyHoAu.vasp None 8.860918e-02
188-QH-Li.poscar_RhAgHoEr.vasp None 9.131254e-02
189-QH-Li.poscar_RhHoErAu.vasp None 8.638600e-02
190-QH-Li.poscar_CuRhHoEr.vasp None 9.421489e-02
191-QH-Li.poscar_LiCuRhIn.vasp None 9.234011e-02
192-QH-Li.poscar_MgCuGaRh.vasp None 9.261149e-02
193-QH-Li.poscar_MgCuRhIn.vasp None 8.435351e-02
194-QH-Li.poscar_LiMnCuRh.vasp None 8.311478e-02
195-QH-Li.poscar_FeGaNbRu.vasp None 9.956373e-02
196-QH-Li.poscar_LiCuAgSb.vasp None 8.579509e-02
197-QH-Li.poscar_AlScCuAu.vasp None 4.386152e-02
198-QH-Li.poscar_AlScCoCu.vasp None 7.894839e-02
199-QH-Li.poscar_LiAlScAu.vasp None 9.683403e-02
200-QH-Li.poscar_LiAlScCo.vasp None 6.865938e-02
201-QH-Li.poscar_LiAlScCu.vasp None -3.625164e-03
202-QH-Li.poscar_LiScCuGa.vasp None 5.467027e-02
203-QH-Li.poscar_LiMgScIn.vasp None 8.993177e-02
204-QH-Li.poscar_AlScCoNi.vasp None 4.281868e-02
205-QH-Li.poscar_AlScNiCu.vasp None 2.923422e-02
206-QH-Li.poscar_LiAlScNi.vasp None 4.349511e-02
207-QH-Li.poscar_LiScNiGa.vasp None 1.116195e-02
208-QH-Li.poscar_LiScNiGe.vasp None 1.773207e-02
209-QH-Li.poscar_LiScNiIn.vasp None 8.173482e-02
210-QH-Li.poscar_AlScCuPd.vasp None 6.095116e-02
211-QH-Li.poscar_LiScGaPd.vasp None 8.066170e-02
212-QH-Li.poscar_LiScGePd.vasp None 5.483674e-02
213-QH-Li.poscar_LiScPdIn.vasp None 6.937795e-02
214-QH-Li.poscar_MgAlScPd.vasp None 8.962011e-02
215-QH-Li.poscar_AlScPtAu.vasp None 6.719345e-02
216-QH-Li.poscar_AlScCuPt.vasp None 3.943474e-02
217-QH-Li.poscar_LiAlScPt.vasp None 9.991085e-02
218-QH-Li.poscar_LiScGaPt.vasp None 6.709429e-02
219-QH-Li.poscar_LiScGePt.vasp None 2.485223e-02
220-QH-Li.poscar_LiScInPt.vasp None 8.945922e-02
221-QH-Li.poscar_MgAlScPt.vasp None 8.562613e-02
222-QH-Li.poscar_AlScCoRh.vasp None 9.872135e-02
223-QH-Li.poscar_AlScCuRh.vasp None 9.967514e-02
224-QH-Li.poscar_LiScGeRh.vasp None 9.708001e-02
225-QH-Li.poscar_BeSiFeCo.vasp None 2.815338e-02
226-QH-Li.poscar_LiSiHfIr.vasp None 7.707274e-02
227-QH-Li.poscar_BeSiMnFe.vasp None 9.748684e-02
228-QH-Li.poscar_SiCrMnFe.vasp None 6.489131e-02
229-QH-Li.poscar_BeSiCoNi.vasp None 8.295665e-02
230-QH-Li.poscar_BeSiFeNi.vasp None 6.055234e-02
231-QH-Li.poscar_LiBeSiNi.vasp None 9.911711e-02
232-QH-Li.poscar_LiSiScPd.vasp None 7.882309e-02
233-QH-Li.poscar_GaSmDyHg.vasp None 9.166496e-02
234-QH-Li.poscar_GaSmEuHg.vasp None 9.110151e-02
235-QH-Li.poscar_InSmDyHg.vasp None 8.779857e-02
236-QH-Li.poscar_InSmErHg.vasp None 8.555867e-02
237-QH-Li.poscar_InSmEuHg.vasp None 6.442564e-02
238-QH-Li.poscar_RhPdSmDy.vasp None 9.860896e-02
239-QH-Li.poscar_LiAgSnAu.vasp None 9.985362e-02
240-QH-Li.poscar_LiAgCdSn.vasp None 9.665463e-02
241-QH-Li.poscar_LiCuAgSn.vasp None 5.102909e-02
242-QH-Li.poscar_LiCuSnAu.vasp None 9.005068e-02
243-QH-Li.poscar_LiCuCdSn.vasp None 7.235678e-02
244-QH-Li.poscar_LiSnHfIr.vasp None 4.852112e-02
245-QH-Li.poscar_LiNiCuSn.vasp None 4.801038e-02
246-QH-Li.poscar_LiNiSnLa.vasp None 9.982907e-02
247-QH-Li.poscar_LiPdAgSn.vasp None 9.280696e-02
248-QH-Li.poscar_LiPdCdSn.vasp None 9.384875e-02
249-QH-Li.poscar_LiCuPdSn.vasp None 9.015143e-02
250-QH-Li.poscar_LiPdSnGd.vasp None 9.134633e-02
251-QH-Li.poscar_LiPdSnLa.vasp None 5.367061e-02
252-QH-Li.poscar_LiMgPdSn.vasp None 7.536899e-02
253-QH-Li.poscar_LiSnLaPt.vasp None 8.648399e-02
254-QH-Li.poscar_LiRhSnHf.vasp None 3.442464e-02
255-QH-Li.poscar_CaGaSrCd.vasp None 9.088473e-02
256-QH-Li.poscar_SrCdBaHg.vasp None 9.540865e-02
257-QH-Li.poscar_SrCdInBa.vasp None 7.686545e-02
258-QH-Li.poscar_AlFeCoTa.vasp None 7.681135e-02
259-QH-Li.poscar_LiAlCoTa.vasp None 8.939855e-02
260-QH-Li.poscar_LiAlTaIr.vasp None -9.616473e-03
261-QH-Li.poscar_LiGaTaIr.vasp None 7.420902e-02
262-QH-Li.poscar_AlCoNiTa.vasp None 8.258614e-02
263-QH-Li.poscar_LiGeTaOs.vasp None 8.888669e-02
264-QH-Li.poscar_LiGaRhTa.vasp None 8.867392e-02
